name,attributes_cyl_path,agency_maint,inc_crc,fmel_upd_d,length_m,longitude,latitude
kml_95,Jurong Lake District - Taman Jurong,LTA (Others),98467B3BD2C521E6,2022-02-16 13:57:18,2.124636366718206,103.73850188733161,1.320930019464029
kml_96,Central,Land Transport Authority,E389825FE5E5BE11,2022-02-16 13:57:18,22.008628964233644,103.85077197455519,1.2992059205516646
kml_97,Central,LTA (Others),64E285709FA260EC,2022-02-16 13:57:18,6.6695561371785566,103.8508625551944,1.2992969341273533
kml_98,Central,Land Transport Authority,F4A66035A2D65B80,2022-02-16 13:57:18,10.010109151344725,103.8508774050298,1.2993570341554532
kml_99,Sembawang,Land Transport Authority,3D110D25BB7F0EE4,2022-02-16 13:57:18,68.70023486380434,103.83091623844732,1.4453492770027496
kml_100,Sembawang,LTA (Others),A18A0DB843FE121A,2022-02-16 13:57:18,8.94299401307986,103.8330977707075,1.447463574207625
kml_101,Sembawang,Land Transport Authority,DF1711189242C82B,2022-02-16 13:57:18,103.59943505441254,103.83339213690329,1.447052339548821
kml_102,Sembawang,LTA (Others),F18C0C483515E951,2022-02-16 13:57:18,17.777311967182065,103.83366095832102,1.44664364461717
kml_103,Sembawang,Land Transport Authority,BE8583F535F4CFB0,2022-02-16 13:57:18,18.591876778887514,103.83071309464538,1.4424062987632724
kml_104,Marina Bay,LTA (Others),3B3217B36D0145C3,2022-02-16 13:57:18,34.29923959643278,103.86078580798251,1.2742411352150151
kml_105,Marina Bay,LTA (Others),5483CCFB11E98599,2022-02-16 13:57:18,35.958626717537555,103.8618771348235,1.27564626572026
kml_106,Marina Bay,LTA (Others),E3D2607320877990,2022-02-16 13:57:18,37.235225337818825,103.8618143149015,1.2758407704355
kml_107,Marina Bay,LTA (Others),251849157E9E424B,2022-02-16 13:57:18,27.731667073916103,103.86515163769249,1.2737472666471499
kml_108,Marina Bay,LTA (Others),5B8434678F46E55A,2022-02-16 13:57:18,42.10549082258502,103.86472612273201,1.27401449904922
kml_109,Marina Bay,LTA (Others),98E6E5BAD23169B3,2022-02-16 13:57:18,57.46385718931448,103.86481654674,1.273782207298795
kml_110,Marina Bay,LTA (Others),387ADC7727C81F01,2022-02-16 13:57:18,55.10087521164013,103.8650612136845,1.273979558397575
kml_111,Marina Bay,LTA (Others),93747CBFB1C99D7D,2022-02-16 13:57:18,12.718947590278093,103.869009861606,1.280152818051935
kml_112,Marina Bay,LTA (Others),B3073E929D56F214,2022-02-16 13:57:18,37.87230502214884,103.858442743208,1.280918842997985
kml_113,Marina Bay,LTA (Others),5872C424E5488CD3,2022-02-16 13:57:18,47.530605947011274,103.86057749285399,1.28154169645203
kml_114,Marina Bay,LTA (Others),85B4A85BAF8CE890,2022-02-16 13:57:18,56.68032589170745,103.863317516654,1.27278710650429
