Attributes STATION_NA,EXIT_CODE,INC_CRC,FMEL_UPD_D,last_updated,longitude,latitude
BAYFRONT MRT STATION,Exit E,2379024BE499AD08,20230127204435,2023-01-27 20:44:35,103.858441003652,1.28110463709187
BAYFRONT MRT STATION,Exit D,D926E2FE3DE5668D,20230127204435,2023-01-27 20:44:35,103.859493846611,1.28283435447098
TAMPINES MRT STATION,Exit B,B610E91C58D66F87,20230127204435,2023-01-27 20:44:35,103.945089563334,1.35353908166709
HOUGANG MRT STATION,Exit C,CAD432D1FEF31915,20230127204435,2023-01-27 20:44:35,103.891975029135,1.37214183483289
HOUGANG MRT STATION,Exit A,2D8A3BEA17E41AFD,20230127204435,2023-01-27 20:44:35,103.892445723159,1.37020857826092
KOVAN MRT STATION,Exit B,420650AF4622E265,20230127204435,2023-01-27 20:44:35,103.884721732122,1.36020562306327
KOVAN MRT STATION,Exit C,A740F42ACFBB45B6,20230127204435,2023-01-27 20:44:35,103.885450578,1.36002801014446
KOVAN MRT STATION,Exit A,AECA4062F6010632,20230127204435,2023-01-27 20:44:35,103.884307428636,1.35970758870125
EUNOS MRT STATION,Exit A,8EBFC6F8732D28BD,20230127204435,2023-01-27 20:44:35,103.902894137842,1.31951727489935
EUNOS MRT STATION,Exit B,C83CDC2726150409,20230127204435,2023-01-27 20:44:35,103.902582077618,1.3195625452698
KEMBANGAN MRT STATION,Exit B,E09063B99CE6B24F,20230127204435,2023-01-27 20:44:35,103.912899288746,1.32115210805545
KEMBANGAN MRT STATION,Exit A,85173EF160C47192,20230127204435,2023-01-27 20:44:35,103.912941079407,1.32092376028202
BEDOK MRT STATION,Exit A,20B9A6B793404FF3,20230127204435,2023-01-27 20:44:35,103.929157143095,1.32356863615635
BEDOK MRT STATION,Exit B,29CA710B93C2CB4B,20230127204435,2023-01-27 20:44:35,103.929673089995,1.32426834276114
ANG MO KIO MRT STATION,Exit B,87583D09ABBEFC42,20230127204435,2023-01-27 20:44:35,103.849596100655,1.36968532219972
ANG MO KIO MRT STATION,Exit A,6CB268C777B52269,20230127204435,2023-01-27 20:44:35,103.849939000741,1.3694647065051
BISHAN MRT STATION,Exit B,1B5DEBDC60CE4A0E,20230127204435,2023-01-27 20:44:35,103.84831225598,1.35106443927374
BISHAN MRT STATION,Exit E,03844339B281C755,20230127204435,2023-01-27 20:44:35,103.848432923875,1.35103483777104
BISHAN MRT STATION,Exit C,2C4E7954EAAC322A,20230127204435,2023-01-27 20:44:35,103.848209281294,1.35058491153989
BRADDELL MRT STATION,Exit C,90DD180B16820DA9,20230127204435,2023-01-27 20:44:35,103.847440830591,1.34067216394317
BRADDELL MRT STATION,Exit B,B8C182EB1FFEA0F7,20230127204435,2023-01-27 20:44:35,103.846406497231,1.34074431901447
BRADDELL MRT STATION,Exit A,6D90E5E9F8684602,20230127204435,2023-01-27 20:44:35,103.846429540721,1.34106899206951
TOA PAYOH MRT STATION,Exit B,DE385222B3EA4A3C,20230127204435,2023-01-27 20:44:35,103.847577567476,1.33231553664677
TOA PAYOH MRT STATION,Exit C,4C8924227130F1F0,20230127204435,2023-01-27 20:44:35,103.847319773632,1.33299410183748
NOVENA MRT STATION,Exit B,F8D815A9ADA89BE1,20230127204435,2023-01-27 20:44:35,103.843339733476,1.31989588603478
NOVENA MRT STATION,Exit A,1C30DBBBBC9F938C,20230127204435,2023-01-27 20:44:35,103.844389333871,1.32109486830236
TOA PAYOH MRT STATION,Exit D,5AB7564CE0D0C509,20230127204435,2023-01-27 20:44:35,103.846517406156,1.33327874598633
WOODLEIGH MRT STATION,Exit C,021A225B04A13444,20230127204435,2023-01-27 20:44:35,103.871053804158,1.3398672199419
WOODLEIGH MRT STATION,Exit A,390C6CA013A0C83B,20230127204435,2023-01-27 20:44:35,103.870940604568,1.33851065441145
WOODLEIGH MRT STATION,Exit B,6AA9CF467B21891C,20230127204435,2023-01-27 20:44:35,103.870508468145,1.33858314946013
BOON KENG MRT STATION,Exit B,437A42A639D5778D,20230127204435,2023-01-27 20:44:35,103.861903675519,1.31923519599748
POTONG PASIR MRT STATION,Exit C,C0620A11315B77FF,20230127204435,2023-01-27 20:44:35,103.868703893188,1.33106671097983
POTONG PASIR MRT STATION,Exit B,ADC7223B75A5E175,20230127204435,2023-01-27 20:44:35,103.869333239363,1.33114814073399
SOMERSET MRT STATION,Exit A,C073EA14C7AA013E,20230127204435,2023-01-27 20:44:35,103.838399326576,1.3000284884874
ONE-NORTH MRT STATION,Exit C,14396AC4C6B421F3,20230127204435,2023-01-27 20:44:35,103.787565456204,1.29971469760634
BRAS BASAH MRT STATION,Exit B,57B5E4CF560CD25A,20230127204435,2023-01-27 20:44:35,103.850474275507,1.29604621307724
BRAS BASAH MRT STATION,Exit A,1C26490BD624B606,20230127204435,2023-01-27 20:44:35,103.851327253386,1.29685892177104
BRAS BASAH MRT STATION,Exit C,9448BEB862765BA4,20230127204435,2023-01-27 20:44:35,103.850249852705,1.29701443296395
BRAS BASAH MRT STATION,Exit D,D53EA9E82E6BE2E5,20230127204435,2023-01-27 20:44:35,103.85015752098,1.29755148518356
BRAS BASAH MRT STATION,Exit E,6010EED2184D4748,20230127204435,2023-01-27 20:44:35,103.850423192511,1.29753545171709
ESPLANADE MRT STATION,Exit A,E51530AE6521B581,20230127204435,2023-01-27 20:44:35,103.856305554739,1.29337054827687
BUKIT BATOK MRT STATION,Exit C,C429C4E74FC7D20E,20230127204435,2023-01-27 20:44:35,103.749766564931,1.34952006073274
CHINATOWN MRT STATION,Exit D,FCD3F9C4B46D59AD,20230127204435,2023-01-27 20:44:35,103.843476210528,1.28540645998668
BUKIT BATOK MRT STATION,Exit D,E14204E5225118FF,20230127204435,2023-01-27 20:44:35,103.749118394189,1.34840537590496
BUKIT BATOK MRT STATION,Exit A,400A184FD3289B7A,20230127204435,2023-01-27 20:44:35,103.749973990258,1.34956107535244
BUKIT GOMBAK MRT STATION,Exit C,86F244E67822A799,20230127204435,2023-01-27 20:44:35,103.751726614847,1.35906497975184
BUKIT GOMBAK MRT STATION,Exit A,09DD5C2C18DD73D5,20230127204435,2023-01-27 20:44:35,103.752076389375,1.35906984624156
BUKIT GOMBAK MRT STATION,Exit D,ED8947B8EAD1722E,20230127204435,2023-01-27 20:44:35,103.751950990526,1.35929785281919
BOON LAY MRT STATION,Exit B,D64646CF4B4055D8,20230127204435,2023-01-27 20:44:35,103.706145547967,1.33842069565789
BOON LAY MRT STATION,Exit C,E67002E356755554,20230127204435,2023-01-27 20:44:35,103.705955152611,1.33873810873339
BOON LAY MRT STATION,Exit A,F72B433FA6426C66,20230127204435,2023-01-27 20:44:35,103.705408994969,1.33827998808197
LAKESIDE MRT STATION,Exit C,577ECF5E707DE228,20230127204435,2023-01-27 20:44:35,103.721712827003,1.34430416996866
LAKESIDE MRT STATION,Exit B,DA7033E23CE2B741,20230127204435,2023-01-27 20:44:35,103.721075412743,1.34408145751948
KRANJI MRT STATION,Exit C,20E6B767B2F69FB8,20230127204435,2023-01-27 20:44:35,103.761754685561,1.42512594915704
BUKIT PANJANG LRT STATION,Exit A,09D276CE9D28C5F6,20230127204435,2023-01-27 20:44:35,103.763063555247,1.37802038374966
BUKIT PANJANG LRT STATION,Exit B,E6C3D8E13B430D8D,20230127204435,2023-01-27 20:44:35,103.763178520546,1.3778632485676
SAMUDERA LRT STATION,Exit A,5773D3B5DB9A561F,20230127204435,2023-01-27 20:44:35,103.901911509627,1.41586536048285
SAMUDERA LRT STATION,Exit B,4D74C24533C50685,20230127204435,2023-01-27 20:44:35,103.902361560111,1.41590585709171
TECK LEE LRT STATION,Exit A,3025BE9395030FE0,20230127204435,2023-01-27 20:44:35,103.906781529506,1.4128757347357
TECK LEE LRT STATION,Exit B,B648DCD0478F77B3,20230127204435,2023-01-27 20:44:35,103.906510789934,1.41292900309077
SAM KEE LRT STATION,Exit A,D716A4040285BEB9,20230127204435,2023-01-27 20:44:35,103.905038571005,1.40970250004176
PETIR LRT STATION,Exit A,B0600A1212F651AE,20230127204435,2023-01-27 20:44:35,103.766793014963,1.37760322809516
PENDING LRT STATION,Exit A,17E89960BD47612A,20230127204435,2023-01-27 20:44:35,103.771327842297,1.37629711719364
BANGKIT LRT STATION,Exit A,B7DF61CC7C6C3B13,20230127204435,2023-01-27 20:44:35,103.772590574209,1.37985334676455
FAJAR LRT STATION,Exit A,A324402CF624723A,20230127204435,2023-01-27 20:44:35,103.770675518445,1.38446507117965
SEGAR LRT STATION,Exit A,54BFE6EB924CBA6F,20230127204435,2023-01-27 20:44:35,103.769409914802,1.38781155599523
JELAPANG LRT STATION,Exit A,45CDB0D9BDC73079,20230127204435,2023-01-27 20:44:35,103.764676792845,1.38683269953093
