Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
PALM ISLES,"760,000",807.3,941,May-21,FLORA DRIVE,Resale,Strata,75,"10,133",-,Condominium,1,99 yrs lease commencing from 2011,17,Outside Central Region,01 to 05
TREASURE AT TAMPINES,"1,009,000",656.6,"1,537",May-21,TAMPINES LANE,New Sale,Strata,61,"16,541",-,Condominium,1,99 yrs lease commencing from 2018,18,Outside Central Region,06 to 10
PARC VERA,"1,225,000","1,140.98","1,074",May-21,HOUGANG STREET 32,Resale,Strata,106,"11,557",-,Condominium,1,99 yrs lease commencing from 2010,19,Outside Central Region,11 to 15
THE PANORAMA,"1,185,000",796.54,"1,488",May-21,ANG MO KIO AVENUE 2,Resale,Strata,74,"16,014",-,Condominium,1,99 yrs lease commencing from 2013,20,Outside Central Region,06 to 10
CHANGI RISE CONDOMINIUM,"2,072,000","3,153.85",657,May-21,SIMEI RISE,Resale,Strata,293,"7,072",-,Condominium,1,99 yrs lease commencing from 2000,18,Outside Central Region,06 to 10
THE JOVELL,"1,097,000",904.18,"1,213",May-21,FLORA DRIVE,New Sale,Strata,84,"13,060",-,Condominium,1,99 yrs lease commencing from 2018,17,Outside Central Region,01 to 05
D'NEST,"825,000",753.48,"1,095",May-21,PASIR RIS GROVE,Resale,Strata,70,"11,786",-,Condominium,1,99 yrs lease commencing from 2010,18,Outside Central Region,01 to 05
TREASURE AT TAMPINES,"2,195,000","1,689.95","1,299",May-21,TAMPINES LANE,New Sale,Strata,157,"13,981",-,Condominium,1,99 yrs lease commencing from 2018,18,Outside Central Region,11 to 15
AFFINITY AT SERANGOON,"1,473,000",904.18,"1,629",May-21,SERANGOON NORTH AVENUE 1,New Sale,Strata,84,"17,536",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,11 to 15
RIVERFRONT RESIDENCES,"1,018,980",731.95,"1,392",May-21,HOUGANG AVENUE 7,New Sale,Strata,68,"14,985",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,16 to 20
THE GAZANIA,"957,000",441.32,"2,168",May-21,HOW SUN DRIVE,New Sale,Strata,41,"23,341",-,Condominium,1,Freehold,19,Outside Central Region,01 to 05
CENTRAL VIEW,"1,050,000","1,205.57",871,May-21,HOUGANG STREET 11,Resale,Strata,112,"9,375",-,Condominium,1,99 yrs lease commencing from 1998,19,Outside Central Region,11 to 15
THE INFLORA,"750,000",742.72,"1,010",May-21,FLORA DRIVE,Resale,Strata,69,"10,870",-,Condominium,1,99 yrs lease commencing from 2012,17,Outside Central Region,01 to 05
TREASURE AT TAMPINES,"1,330,000",947.23,"1,404",May-21,TAMPINES LANE,New Sale,Strata,88,"15,114",-,Condominium,1,99 yrs lease commencing from 2018,18,Outside Central Region,06 to 10
LOYANG GARDENS,"1,180,000","1,485.43",794,May-21,JALAN LOYANG BESAR,Resale,Strata,138,"8,551",-,Condominium,1,999 yrs lease commencing from 1885,17,Outside Central Region,-
KINGSFORD WATERBAY,"853,000",721.19,"1,183",May-21,UPPER SERANGOON VIEW,Resale,Strata,67,"12,731",-,Apartment,1,99 yrs lease commencing from 2014,19,Outside Central Region,06 to 10
THE INFLORA,"738,000",742.72,994,May-21,FLORA DRIVE,Resale,Strata,69,"10,696",-,Condominium,1,99 yrs lease commencing from 2012,17,Outside Central Region,01 to 05
