Attributes ADDRESSBLOCKHOUSENUMBER,ADDRESSBUILDINGNAME,postal_code,street_address,ADDRESSTYPE,DESCRIPTION,website,LANDXADDRESSPOINT,LANDYADDRESSPOINT,facility_name,PHOTOURL,ADDRESSFLOORNUMBER,INC_CRC,last_updated,ADDRESSUNITNUMBER,longitude,latitude
,,820194,Blk 194 Punggol Road #01-01 Singapore,,,http://www.metta.org.sg,0,0,Metta Welfare Association (Preschool@punggol),,,AE31D582C23802F5,20121122110134,,103.906465581861,1.40225005438711
,,458686,1 Elliot Road Singapore,,,http://www.saac.org.sg,0,0,St Andrew's Adult Services St Andrew's Autism Centre,,,430A9605FD92481C,20121219111651,,103.930120930206,1.31120591944818
,,529950,32 Simei Street 1 Metta Building Level 1 Singapore,,,http://www.metta.org.sg,0,0,Metta Welfare Association (Preschool@simei),,,80B81FD0EB80426B,20121122110134,,103.957512092028,1.34722546134429
,,149306,501 Margaret Drive Singapore,,,http://www.rainbowcentre.org.sg,0,0,Rainbow Centre Rainbow Centre Early Intervention Programme - Margaret Drvie (RC EIPMD),,,C0C3C5FDB0BEF2E3,20121122110134,,103.809086200936,1.29728287886412
,,768548,15 Yishun Street 61 Singapore,,,http://www.rainbowcentre.org.sg,0,0,Rainbow Centre Yishun Park School Rainbow Centre Early Intervention Centre - Yishun Park (RC EIPYP),,,6677B7FAB5C6CC4D,20121122110134,,103.837187828062,1.42001143852334
,,600337,Blk 337 Jurong East Ave 1 #01-1562 Singapore,,,http://www.spd.org.sg,0,0,Society for the Physically Disabled (Jurong) SPD Building Bridges EIPIC Centre,,,36F51BC6B558C5C6,20121122110134,,103.731894092373,1.34973787449592
,,168955,2 Peng Nguan Street SPD Ability Centre Singapore,,,http://www.spd.org.sg,0,0,Society for the Physically Disabled (Peng Nguan Street) SPD Building Bridges EIPIC Centre,,,10CD98489D44DF2C,20121122110134,,103.831105756194,1.28197433392447
,,400352,Blk 352 Ubi Avenue 1 #01-989 Singapore,,,http://www.touch.org.sg,0,0,TOUCH Community Services TOUCH Centre for Independent Living,,,364E0D0F490C89FC,20121122110128,,103.899688309236,1.3252831829299
,,547533,7 Lorong Napiri Singapore,,,http://www.minds.org.sg/MVHG/index.html,0,0,Movement for the Intellectually Disabled of Singapore (MINDS) MINDSVille@Napiri - Hostel/Group Home,,,5B0A43263840B266,20121122110128,,103.878470820482,1.37201049307311
,,400301,Blk 301 Ubi Avenue 1 #01-295 Singapore,,,http://www.touch.org.sg,0,0,TOUCH Community Services TOUCH Ubi Hostel,,,26F6B6DADB23797C,20121122110128,,103.901952095228,1.33066595657109
,,369977,8 Burn Road Unit 08-16 Trivex Singapore,,,http://www.able-sg.org,0,0,Abilities Beyond Limitations And Expectations Limited (ABLE),,,B2B7840AFF7DACDA,20121122110128,,103.885492215858,1.33587643485883
,,469030,2 Chai Chee Lane Singapore,,,http://www.thkmc.org.sg,0,0,Thye Hua Kwan Moral Charities (THKMC) THK Home for Disabled Adults @ Chai Chee,,,A7015B48050EA6A5,20121122110131,,103.919250449568,1.32797226455993
,,469028,Blk 512 Chai Chee Lane #01-09 Bedok Industrial Estate Singapore,,,http://www.bizlink.org.sg,0,0,Bizlink Centre Singapore Ltd,,,90B37B78BDF21E31,20121122110131,,103.917619194101,1.32993829903548
,,149310,800 Margaret Drive Singapore,,,http://www.minds.org.sg/SMEDC,0,0,Movement for the Intellectually Disabled of Singapore (MINDS) SIA-MINDS Employment Development Centre,,,5F022BE4A7CD006E,20121122110131,,103.813287620119,1.29465118090888
,,737883,30 Woodlands Ring Road #01-02 Singapore,,,http://www.minds.org.sg/WEDC,0,0,Movement for the Intellectually Disabled of Singapore (MINDS) Woodlands Employment Development Centre,,,7E123C58C9C6C3AA,20121122110131,,103.797859129407,1.43708420985345
,,579837,9 Bishan Place #06-01 Junction 8 Singapore,,,http://www.mdas.org.sg,0,0,Muscular Dystrophy Association (Singapore),,,3EF20E941F439B46,20121122110132,,103.84876080886,1.35048197875026
,,519529,65 Pasir Ris Drive 1 Cerebral Palsy Centre Singapore,,,http://www.spastic.org.sg,0,0,Spastic Children’s Association of Singapore Goodwill Rehabilitation & Occupational Workshop (GROW),,,26ACBB4242B8ADE2,20121122110132,,103.939412836889,1.37514156954505
,,400003,Blk 3 Eunos Crescent #01-2577 Singapore,,,http://www.thkmc.org.sg,0,0,Thye Hua Kwan Moral Charities (THKMC) THK Pan-Disability Centre @ Eunos,,,D13DF6AF93DF08C9,20121122110132,,103.90322848783,1.32067391353827
,,369977,8 Burn Road Unit 08-16 Trivex Singapore,,,http://www.able-sg.org,0,0,Abilities Beyond Limitations And Expectations Limited (ABLE),,,B2B7840AFF7DACDA,20121122110132,,103.885492215858,1.33587643485883
,,469028,Blk 512 Chai Chee Lane #01-09 Bedok Industrial Estate Singapore,,,http://www.bizlink.org.sg,0,0,Bizlink Centre Singapore Limited Vocational Assessment Division,,,90B37B78149B3761,20121122110132,,103.917619194101,1.32993829903548
,,327725,16 Whampoa Drive Singapore,,,http://www.hwa.org.sg,0,0,Handicaps Welfare Association (Head Office),,,0893EE8A4172BAA2,20121122110132,,103.853915231198,1.32218289081372
,,648886,1Jurong West Central 2 #04-03 Jurong Point Shopping Centre Singapore,,,http://www.hwa.org.sg,0,0,Handicaps Welfare Association (Jurong Branch),,,92BA1ED477D89238,20121122110132,,103.706685012672,1.33945200425206
,,529950,16 Whampoa Drive Singapore,,,http://www.happyarts.com.sg,0,0,Happy Arts Enterprise Ltd,,,80B81FD026DEDA74,20121122110132,,103.957512092028,1.34722546134429
,,579837,9 Bishan Place #06-01 Junction 8 Singapore,,,http://www.mdas.org.sg,0,0,Muscular Dystrophy Association (Singapore),,,3EF20E941F439B46,20121122110132,,103.84876080886,1.35048197875026
,,438235,29 Jalan Tembusu Singapore,,,http://www.apsn.org.sg,0,0,Association For Persons With Special Needs (APSN) Centre for Adults,,,511106CEBB17C253,20121122110128,,103.897936084833,1.30500452286773
,,469028,Blk 512 Chai Chee Lane #01-09 Bedok Industrial Estate Singapore,,,http://www.bizlink.org.sg,0,0,Bizlink Centre Singapore Limited Employment Placement Division,,,90B37B78F08C692B,20121122110128,,103.917619194101,1.32993829903548
,,327725,16 Whampoa Drive Singapore,,,http://www.hwa.org.sg,0,0,Handicaps Welfare Association (Head Office),,,0893EE8A4172BAA2,20121122110129,,103.853915231198,1.32218289081372
,,648886,1Jurong West Central 2 #04-03 Jurong Point Shopping Centre Singapore,,,http://www.hwa.org.sg,0,0,Handicaps Welfare Association (Jurong Branch),,,92BA1ED477D89238,20121122110129,,103.706685012672,1.33945200425206
,,149310,800 Margaret Drive Singapore,,,http://www.minds.org.sg,0,0,Movement for the Intellectually Disabled of Singapore (MINDS) Job Placement and Job Support Programme,,,5F022BE4F92C2528,20121122110129,,103.813287620119,1.29465118090888
,,168955,2 Peng Nguan Street SPD Ability Centre Singapore,,,http://www.spd.org.sg,0,0,Society for the Physically Disabled (Peng Nguan Street) Employment Support Programme,,,10CD98485148832A,20121122110129,,103.831105756194,1.28197433392447
,,460133,Block 133 Bedok North Ave 3 #01-138 Singapore,,,http://www.vsa.org.sg,0,0,Very Special Arts Singapore Ltd,,,ABF6587320766715,20121122110129,,103.935739668635,1.32754842669157
,,469028,Blk 512 Chai Chee Lane #01-09 Bedok Industrial Park Estate,,,http://www.bizlink.org.sg,0,0,Bizlink Centre Singapore Ltd Employment Placement Division,,,90B37B78A8C84F06,20121122110126,,103.917619194101,1.32993829903548
,,149310,800 Margaret Drive 5/F SIA-MINDS EDC Building Singapore,,,http://www.minds.org.sg,0,0,Movement for the Intellectually Disabled of Singapore (MINDS) MINDS Community Group Home,,,5F022BE4C7A3E439,20121122110126,,103.813287620119,1.29465118090888
,,149306,501 Margaret Drive Singapore,,,http://www.rainbowcentre.org.sg,0,0,Rainbow Centre Rainbow Centre Training & Consultancy,,,C0C3C5FD3D9F448B,20121122110126,,103.809086200936,1.29728287886412
,,168955,2 Peng Nguan Street SPD Ability Centre Singapore,,,http://www.spd.org.sg,0,0,Society for the Physically Disabled (Peng Nguan Street) SPD IT Apprenticeship Programme,,,10CD984854B49DC5,20121122110126,,103.831105756194,1.28197433392447
,,168955,2 Peng Nguan Street SPD Ability Centre Singapore,,,http://www.spd.org.sg,0,0,Society for the Physically Disabled (Peng Nguan Street) SPD Specialised Assitive Technology Centre,,,10CD98481FE4CE47,20121122110126,,103.831105756194,1.28197433392447
,,168955,2 Peng Nguan Street SPD Ability Centre Singapore,,,http://www.spd.org.sg,0,0,Society for the Physically Disabled (Peng Nguan Street) SPD Therapy Hub,,,10CD9848B8D67A8A,20121122110126,,103.831105756194,1.28197433392447
,,140150,150A Mei Chin Road #02-01 Singapore,,,http://www.thkmsc.org.sg,0,0,Thye Hua Kwan Moral Charities (THKMC) Moral Therapy Hub,,,57735BD1B4F76A37,20121122110126,,103.803820595583,1.29536889835833
,,519529,65 Pasir Ris Drive 1 Cerebral Palsy Centre Singapore,,,http://www.spastic.org.sg,0,0,Spastic Children's Association of Singapore SCAS Seating Project,,,26ACBB42AC0CD78B,20121122110126,,103.939412836889,1.37514156954505
,,519529,65 Pasir Ris Drive 1 Cerebral Palsy Centre Singapore,,,http://www.spastic.org.sg,0,0,Spastic Children's Association of Singapore SCAS Therapy Rehabilitation,,,26ACBB428F6AA2E0,20121122110126,,103.939412836889,1.37514156954505
,,530426,Blk 426 Hougang Avenue 6 #01-53 Singapore,,,http://www.autism.org.sg,0,0,Autism Association Singapore (AAS) Eden Centre for Adults,,,CCFDCBA275A9916E,20121122110127,,103.893132923039,1.37341334235395
,,579798,6 Bishan Street 13 Singapore,,,http://www.welcome.bishanhome.org.sg,0,0,Bishan Home for the Intellectually Disabled Bishan Home for the Intellectually Disabled - Day Activity Centre,,,94C04E8F452D4169,20121122110127,,103.855024628398,1.34759124293191
,,738580,2 Woodlands Street 31 Singapore,,,http://www.metta.org.sg,0,0,Metta Welfare Association Metta Home Day Activity Centre,,,78EF64075B1DA9EB,20121122110127,,103.775665594615,1.42937863318425
,,560134,Blk 134 Ang Mo Kio Avenue 3 Street 12 #01-1677 Singapore,,,http://www.minds.org.sg/ATDC/index.html,0,0,Movement for the Intellectually Disabled of Singapore (MINDS) Ang Mo Kio Training & Development Centre,,,D11907A2F9289EA3,20121122110127,,103.842247620437,1.37204104908773
,,120304,Blk 304 Clementi Avenue 4 #01-487 Singapore,,,http://www.minds.org.sg/CTDC/index.html,0,0,Movement for the Intellectually Disabled of Singapore (MINDS) Clementi Training & Development Centre,,,52784E70BC8DECD6,20121122110127,,103.764858567412,1.32092754693865
,,547533,7 Lorong Napiri Singapore,,,http://www.minds.org.sg/NTDC/index.html,0,0,Movement for the Intellectually Disabled of Singapore (MINDS) Napiri Training & Development Centre,,,5B0A4326F1A15B4D,20121122110127,,103.878470820482,1.37201049307311
,,534194,20 Buangkok View Buangkok Green Medical Park Singapore,,,http://www.sacshcc.org.sg,0,0,Singapore Anglican Community Services Hougang Care Centre,,,2B656C15E6646FF1,20121122110127,,103.883504147053,1.38291629348143
,,556056,159 Serangoon Garden Way Singapore,,,http://www.cheshirehome.org.sg,0,0,Singapore Cheshire Home Singapore Cheshire Home Day Care Centre,,,7B2663F93869CC77,20121122110127,,103.861242810238,1.3658088840667
,,159052,8 Lengkok Bahru #04-01 Family Link @ Lengkok Bahru Singapore,,,http://www.redcross.org.sg,0,0,Singapore Red Cross Society Red Cross Home for the Disabled - Day Activity Centre,,,E34D616309D9E657,20121122110127,,103.811251369424,1.2864500139675
,,168955,2 Peng Nguan Street SPD Ability Centre Singapore,,,http://www.spd.org.sg,0,0,Society for the Physically Disabled (Peng Nguan Street) SPD Day Activity Centre,,,10CD98482608CC32,20121122110127,,103.831105756194,1.28197433392447
,,519529,65 Pasir Ris Drive 1 Cerebral Palsy Centre Singapore,,,http://www.spastic.org.sg,0,0,Spastic Children's Association of Singapore SCAS Day Activity Centre,,,26ACBB42F0A3FC70,20121122110127,,103.939412836889,1.37514156954505
,,460039,Blk 39 Bedok South Road #01-7159 Singapore,,,http://www.sun-dac.com,0,0,SUN-DAC,,,8D5E6797499D8895,20121122110128,,103.939733658347,1.32139680208527
,,680213,Blk 213 Choa Chu Kang Central #01-110 Singapore,,,http://www.sun-dac.com,0,0,SUN-DAC,,,AF07971E7258B72E,20121122110128,,103.74721377172,1.38217285690658
